360player 360万能播放器
360safe 360安全卫士
360sd 360杀毒
360zip 360压缩
aalib ASCII艺术图书馆
aisleriot 纸牌游戏
almanah Almanah日记
anjuta Anjuta
atril 文档查看器
audacious 音乐播放器
bijiben 便笺
bluefish Bluefish编辑器
brasero 光盘刻录器
bristol Bristol
browser360-cn-stable 360安全浏览器
california 日历程序
cheese 茄子大头贴
chromium Chrominum 浏览器
dia Dia 图表编辑器
diffpdf 比较PDF文件
diffuse 比较合并工具
dingtalk.png 钉钉
edrawmax 亿图图示edrawmax
ekiga Ekiga 软电话
electronic-wechat.png 微信
empathy 聊天工具
engrampa 归档管理器
eom 图像查看器
eric Eric4
evolution Evolution
fbreader FBReader
filezilla FTP客户端
firefox Firefox 浏览器
five-or-more 连珠消球
focuswriter 全屏编辑器FWriter
fwfstab 分区表编辑器
galculator 科学计算器
gcr 证书查看器
geany geany
gerbv Gerber文件查看器
ghex GHex
giggle Giggle
gimp 图像处理程序
git-cola Git Cola
glabels 标签设计工具
glade Glade界面设计器
gnome-chess 国际象棋
gnome-mines 扫雷
gnome-mplayer 媒体播放器
gnome-sound-recorder 录音机
gnome-sudoku 数独
gnumeric 电子表格
gphpedit gPHPEdit
gsmartcontrol 硬盘检测
gthumb 图像编辑器
gtranslator Gtranslator
gucharmap 字符映射表
gxrandr 投影切换
hardinfo 系统信息
homebank 个人理财
htmldoc HTML转换
iagno 黑白棋
ibus-unispy 华宇输入法
iptux 信使(iptux)
java-1.8.0-openjdk JDK策略工具
joe joe
juffed 文本编辑器juffEd
leafpad 文字编辑器Leafpad
librecad 计算机辅助设计
linuxqq 腾讯QQ
lxterminal LX 终端
lyx 文档处理器Lyx
mate-calc 计算器
mate-dictionary 字典
mate-disk-usage-analyzer 磁盘管理
mate-screenshot 屏幕截图
mate-search-tool 搜索
mate-system-log 系统日志查看器
mate-system-monitor 任务管理器
mate-terminal 命令提示符
meld Meld
memaker 创建画像
midori Midori浏览器
mindmaster 亿图图示mindmaster
mousepad 文本编辑器mousepad
mtpaint 图像编辑器mtPaint
musique Musique
nedit 文本编辑器nedit
netactview 网络连接查看器
openeuclide 几何软件
openteacher 私人老师
pdfshuffler PDF编排
pidgin Pidgin互联网通讯程序
planner 项目管理
pluma 记事本
psi 即时消息Psi
putty Putty客户端
pyrenamer 文件重命名
pyroom 全屏编辑器PyRoom
qgit QGit
qqbrowserlinux QQ浏览器
qt-devel Qt4 Designer
quadrapassel 俄罗斯方块
quearcode QR码创建
rednotebook 桌面日记
remmina 远程桌面连接
scite 文本编辑器sciTE
scribus 出版程序scribus
shotwell 照片管理
simple-scan 扫描易
simplescreenrecorder 录屏软件
smplayer 视频播放器
sound-juicer 音乐榨汁机
stardict 星际译王
subtitleeditor 字幕编辑器
tagainijisho 日语助手
taskcoach 任务管理
texmaker LaTeX编辑器
texworks TeX编辑器
thunderbird 邮件客户端
tintii 照片调整 tintii
transmageddon 视频转码工具
transmission-gtk 轻量级BT客户端
ucview 图像采集
veusz 科学绘图
xfburn Xfburn 刻录工具
xsane 图像扫描
yelp 帮助
youdao-dict 有道词典
